CITY NAME,2010,2011,2012,2013,2014,2015, long, lat
"Dearborn Heights city, Michigan",57636,57206,56993,56498,56397,56145,-96.82361159999999, 33.1506744
"Decatur city, Alabama",55752,55868,55901,55633,55563,55437,-121.6555013, 36.6777372
"Decatur city, Illinois",76119,75902,75449,74969,74071,73254,-78.7811169, 35.79154
"Deerfield Beach city, Florida",75207,76534,77569,78282,78901,79768,-122.272747, 37.8715926
"Delano city, California",53133,53667,52498,52465,52636,52733,-74.17181099999999, 40.9167654
"Delray Beach city, Florida",60821,61593,62462,64211,65085,66255,-116.5634624, 43.5407172
"Deltona city, Florida",85197,85142,85487,86075,86880,88474,-118.1445155, 34.1477849
"Denton city, Texas",116987,120132,123646,125277,128590,131044,-81.09983419999999, 32.0835407
"Denver city, Colorado",603300,619374,633976,648411,663963,682545,-71.20922139999999, 42.3370413
"Des Moines city, Iowa",204573,205991,206975,207786,209709,210330,-73.4081575, 41.11774399999999
"Des Plaines city, Illinois",58432,58644,58851,58985,58970,58677,-97.47809540000002, 35.6528323
"DeSoto city, Texas",49326,50165,51170,51548,51978,52486,-80.13731740000001, 26.1224386
"Detroit city, Michigan",711049,704200,698682,689950,680223,677116,-71.1550451, 41.7014912
"Diamond Bar city, California",55592,55958,56277,56522,56662,56897,-117.9289469, 33.6189101
"Doral city, Florida",45963,47651,48454,50595,54245,56035,-86.52638569999999, 39.165325
"Dothan city, Alabama",66103,66661,67359,67841,68354,68567,-122.0807964, 37.6688205
"Downey city, California",111824,112454,112989,113464,113885,114219,-117.6508876, 34.0633443
"Dublin city, California",45918,46868,48794,52169,54730,57721,-117.5664384, 33.8752935
"Dubuque city, Iowa",57679,57972,58188,58510,58676,58799,-112.2373779, 33.5805955
"Duluth city, Minnesota",86209,86243,86212,86146,86206,86110,-105.084423, 40.5852602
"Durham city, North Carolina",229277,234319,240058,245931,252508,257636,-96.73110340000001, 43.5445959
"Eagan city, Minnesota",64266,64518,64831,65434,66029,66286,-80.2962555, 26.007765
"East Orange city, New Jersey",64126,64391,64329,64515,64718,64949,-96.3699632, 30.6743643
"Eastvale city, California",53954,54585,55150,55670,56984,59039,-88.1535352, 41.7508391
"Eau Claire city, Wisconsin",66273,66816,67366,67929,67753,67778,-83.6324022, 32.8406946
"Eden Prairie city, Minnesota",60860,61614,62212,62574,63233,63496,-117.7499909, 34.055103
"Edina city, Minnesota",48000,48639,49054,49408,49598,50138,-122.0363496, 37.36883
"Edinburg city, Texas",75011,77306,78703,80970,83114,84497,-79.82842579999999, 32.8323225
"Edmond city, Oklahoma",81711,83013,84960,87022,88684,90092,-117.689218, 33.6469661
"El Cajon city, California",99750,100845,101717,102583,103170,103679,-118.3406288, 33.8358492
"El Monte city, California",113674,114294,115207,115971,116371,116732,-71.1631137, 42.7070354
"El Paso city, Texas",651685,665726,676401,677703,680682,681124,-83.3677168, 42.4989936
"Elgin city, Illinois",108317,109252,109753,110246,111164,112111,-88.0817251, 41.525031
"Elizabeth city, New Jersey",125338,125959,127014,128034,128812,129007,-71.4161671, 41.7001009
"Elk Grove city, California",153463,155837,158504,160832,163470,166913,-87.78285230000002, 42.7261309
"Elkhart city, Indiana",51569,51695,51779,51956,52089,52348,-86.01335, 39.9567548
"Elyria city, Ohio",54491,54320,54118,54017,53954,53775,-121.8374777, 39.7284944
"Encinitas city, California",59698,60354,61056,61788,62318,62930,-88.99368729999999, 40.4842027
"Enid city, Oklahoma",49522,49488,49947,50837,51295,51776,-122.286865, 38.2975381
"Erie city, Pennsylvania",101787,101630,101433,100733,100055,99475,-83.400211, 42.32420399999999
"Escondido city, California",144425,146266,147929,149307,150363,151451,-71.4372796, 41.7798226
"Eugene city, Oregon",156539,157344,157993,158492,160620,163460,-94.74048909999999, 32.5007037
"Euless city, Texas",51450,52141,52821,53241,53651,54219,-118.1339563, 33.8536269
"Evanston city, Illinois",74592,75079,75614,75870,75891,75527,-82.5514869, 35.5950581
"Evansville city, Indiana",120118,120180,120210,120374,120287,119943,-122.8755949, 42.3265152
"Everett city, Washington",103251,103601,104639,105400,106827,108010,-87.5000412, 41.5833688
"Fairfield city, California",105530,106259,107582,109331,111092,112970,-94.1288141, 36.18674420000001
